facility_id,overture_id,facility_name,name_review_flag,county,city,county_source,centroid_lon,centroid_lat,area_ft2,label,subclass,confidence_score,confidence_tier,is_warehouse,warehouse_prob,source,scag_land_use_class,APN,costar_match_confidence,intensity_tier,is_high_cube,is_likely_crossdock,ops_start_year,year_source,year_confidence,lodes_onset_year,year_built,temporal_use,suspect_stale_year
SCAG-WH-00759,8c94b825-d2df-413e-afb4-20ce8eb89256,,False,LA,Vernon,original,-118.212406,34.010775,156153,confirmed,FI-IND,65.0,High,1,0.787,overture,warehouse,6303002028,medium,Medium,0.0,0.0,2007,costar,high,2020,2007,usable,False
SCAG-WH-00760,,,False,LA,Industry,original,-117.972179,34.034333,156028,confirmed,FI-IND,65.0,Medium,0,0.409,osm,warehouse,8208006051,weak,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00761,,,False,LA,Irwindale,original,-117.939528,34.102547,155937,confirmed,FI-IND,55.0,Medium,0,0.409,osm,warehouse,8417035007,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00762,9fa54e37-ec0c-4934-ab76-a430560b21a5,Costco,True,LA,Los Angeles,original,-118.463631,34.181321,155882,candidate,candidate (unsubtyped),25.0,Medium,0,0.387,overture,industrial,2242025025,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00763,e6e7fc78-0b43-4979-9c28-64945142a975,LBUSD,False,LA,Long Beach,original,-118.165308,33.855941,155865,confirmed,ambiguous,35.0,Medium,1,0.501,overture,industrial,7157015901,weak,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00764,,,False,LA,Industry,original,-117.987337,34.027091,155393,confirmed,FI-IND,55.0,Medium,0,0.41,osm,warehouse,8206019068,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00765,e8a08d58-d263-4e24-94e2-3f2a566770de,,False,LA,Los Angeles,original,-118.478349,34.305912,155300,confirmed,FI-IND,25.0,High,1,0.771,overture,industrial,2604002037,medium,Low,0.0,0.0,1991,costar,high,,1991,usable,False
SCAG-WH-00766,4ce4cbcc-736a-4490-bf30-74bab636f653,,False,LA,Santa Fe Springs,original,-118.052107,33.913953,155199,confirmed,FI-IND,65.0,High,1,0.833,overture,warehouse,8044001030,medium,Medium,0.0,0.0,2000,costar,high,2020,2000,usable,False
SCAG-WH-00767,,,False,LA,Industry,original,-117.974205,34.02842,155138,confirmed,FI-IND,55.0,Medium,0,0.41,osm,warehouse,8208002051,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00768,,,False,LA,Vernon,original,-118.231186,33.998996,155032,confirmed,FI-IND,65.0,Medium,1,0.549,osm,warehouse,6308015044,high,Medium,0.0,0.0,1973,costar,high,2020,1973,usable,False
SCAG-WH-00769,,Quality Custom Distribution,False,LA,Unincorporated,original,-117.987829,34.030457,155010,confirmed,U-DF,55.0,Medium,0,0.41,osm,warehouse,8206020022,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00770,,,False,LA,Los Angeles,original,-118.249808,34.033164,154972,confirmed,FI-IND,0.0,Low,0,0.326,ms,non_industrial,5132009021,high,Low,0.0,0.0,1930,costar,high,2004,1930,usable,False
SCAG-WH-00771,,,False,LA,Pico Rivera,original,-118.118407,33.973978,154766,confirmed,U-DF,65.0,Medium,0,0.413,osm,warehouse,6368002015,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00772,7d4b00dc-0866-4c09-91e1-f848669e1c0f,,False,LA,South Gate,original,-118.168103,33.950539,154748,confirmed,FI-IND,35.0,Medium,0,0.422,overture,industrial,6232002005,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00773,7c035d98-fee1-4576-8a4a-7aa09fb3c3a9,,False,LA,Gardena,original,-118.312766,33.903084,154513,confirmed,FI-IND,35.0,High,1,0.653,overture,industrial,4061028056,medium,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00774,57bce040-a0a2-4cb5-b76c-d78f2e638679,,False,LA,Carson,original,-118.258609,33.812055,154495,confirmed,FI-IND,65.0,Medium,1,0.553,overture,warehouse,7315036068,medium,Medium,0.0,0.0,1987,costar,high,2003,1987,usable,False
SCAG-WH-00775,2e4f2eaa-ffbf-436b-ac09-33542ea253ac,,False,LA,Vernon,original,-118.206039,34.001724,154181,confirmed,FI-IND,35.0,Medium,0,0.394,overture,industrial,6303019015,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00776,0c098d0f-0515-48e6-a30e-6ec059d3fdb5,,False,LA,Carson,original,-118.249219,33.817869,154085,confirmed,FI-IND,35.0,Medium,0,0.393,overture,industrial,7315032042,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00777,c1e91d59-be22-4d27-a9fb-d16c2ebc2792,,False,LA,Paramount,original,-118.172098,33.908059,154077,candidate,candidate (unsubtyped),25.0,Medium,0,0.397,overture,industrial,6236029025,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00778,,,False,LA,Los Angeles,original,-118.224953,34.037185,153936,confirmed,U-DF,65.0,Medium,0,0.415,osm,warehouse,5171016010,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00779,f1a23bac-7527-4ad6-a844-f1e3578dcc8d,,False,LA,Los Angeles,original,-118.581299,34.237002,153749,confirmed,ambiguous,55.0,Medium,0,0.39,overture,warehouse,2748001038,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00780,56dca13b-704f-4574-ac2e-fe254bacdbd6,,False,LA,Hawthorne,original,-118.32888,33.914248,153706,confirmed,FI-IND,35.0,Medium,0,0.391,overture,industrial,4053005009,weak,Medium,0.0,0.0,1951,costar,high,2020,1951,usable,False
SCAG-WH-00781,2e018573-fdcf-45b5-bd4b-a843d2b3e9c3,South Bay Distribution Center,False,LA,Unincorporated,original,-118.207443,33.865761,153701,confirmed,R-DC,35.0,High,1,0.667,overture,industrial,7306013027,high,Medium,0.0,0.0,1961,costar,high,,1961,usable,False
